sentimen,Tweet
0,bettul Bu klau kena gejala seprti yang ibu alami mungkin saat ini banyak yang alami di tengah masyarakat cuma bedanya di hati saja ada yang panik ada yang ngak klau tenang ngak panik bisa di tanganin sendiri klau panik yang satu pikiran ke rumah sakit
0,isoman gak? Semoga isoman. Karena hal ini bertujuan untuk menekan laju penyebaran virus.
0,Saya juga pernah alami ituu.Tapi saya tetap percaya diri dan malas tau jln truss Akhirnya semua sudah normal dengan sendirinya.
2,"Bnyk sekali anak muda pamer kenak corona minum panadol bodrex dll sembuh. Hey anak muda  gw jg anak muda gw pun pernah positif akan virus dan minum Jgn lupa suatu saat kita jg akan tua di situlah nanti brlah sadar akan penyakit dan virus apapun itu yg tlah menyerang anda dan obat bodrex tak lg mampu menyembuhkan di situlah anda akan menangis dan anak muda generasi baru akan menertawakan anda hingga jingkrak2 serta guling2an di lantai. Menertawakan kebodohan2 anda saat muda dulu     panadol,bodrex kemudian sembuh. Itu semua karna saya msh muda dan imunitas saya masih kuat msh mampu menahan serangan2 segala virus. Tp pernah gak berpikir jika kita menularkan kepada org yg imunitas lemah,atau org yg udh lanjut usia maka mereka akan mati karnamu. Virus apapun itu sebetulnya sangat bahaya bagi yg mereka anti bodynya lemah...untuk itu pemerintah berkerja keras utk memadamkannya virus2 yg dimana di katakan gampang sekali menularnya yaitu COVID 19. Klu gk gampang menular ya biasa2 ajalah dan gk akan heboh"
0,Di mata orang lain ini hanyalah sekotak susu Tapi di matanya inilah kunci untuk kabur ia mengupasnya mengeluarkan bagian film tipis lalu dibersihkan. saat akan keluar dia diam diam menempelkannya di kunci rahasia sel jadi pada saat penjaga menekan kode tersebut jarinya ikut menekan 4 tombol itu sekali lagi ia melambaikan film itu Dia mendapat 4 angka Jadi mungkin ada 24 kunci kombinasi. Selanjutnya adalah mencoba kata sandi tapi bagaimana cara menyentuh kunci ini Dia meremas kertas toilet menjadi bola bola kecil kemudian meremas pasta gigi nya Sama seperti itu dia membuat banyak hal. Kemudian menggunakan kertas kado terus meremas dan mengencangkannya. Sebuah bola bundar besar direkatkan saat penjaga membantunya melepas borgol Dia segera memasukannya ke lubang di jendela kecil begitu pun ketika sipir mengunci jendela kecil itu masih mungkin untuk di buka Dari jendela kecil Ia mengulurkan tangannya dan mencoba kata sandi paling banyak adalah 24 kali dia bisa melakukannya dengan benar dan cepat. Untuk mencegah kamera menangkapnya pertama-tama dia harus tahu apa yg dilakukan para penjaga jadi dia mendengarkan suara di luar setiap saat melalui suara saat pintu di buka dan di tutup dia tahu para penjaga setiap hari setelah membawa nya ke sel akan keluar untuk mengobrol dan merokok bersama jadi ada waktu satu menit setiap hari tidak ada kamera pengawas ini adalah celah yg dia cari
1,"Kami berdua gak ada plg kampung gak ada kumpul2 dan patuh sama prokes 5m kebetulan semenja corona dagang sepi sp dagangan gak bisa beli lagi qodarulloh senin pagi ke puskes krn batuk tes antigen alhamdulillah alla kulihal hasinya positif,padahal setiap ada yg beli selalu cuci tangan prokes patuh sekarang isolasi mandiri kami hanya bisa berdoa semoga Allah angkat penyakit kami dan orang yg positif tetap semangat Allah beri kesembuhan dan diangkatnya wabah ini aamiin......"
1,Masukan sedikit. Ini infografisnya mohon diupdate krn skrg anak kecil org dewasa non petugas sosial (pns tni nakes) jg sudah disuntik
2,"Gmn corona mau hilang..orang2 nya msih pd tdk jujur...knp di indonesia vaksin di galakkan..krn di negara lain vaksin di tolak.cm di imdonesia yg di ksi ijin msuk.cb klo tdk diksi ijin,tdk akan ada vaksin.klo vaksin di katakan sbg penguat imun tubuh..dgn vit aja bs.knp hrus dgn vaksin.apalgi klo tdk divaksin tdk akan di layani di pemerintahan..negara apa ini...orng gk mau di vaksin malah di takut2i.yg punya riwayat penyakit...sdh di bilang msih aja di vaksin.tetangga sy bnyk yg jdi korban.hbis di vaksin malah tambh parah."
2,Ealah dab dab publish teros sampe habis rakyatmu. Negoro kok manutan ra ndue prinsip blas kae vaksin melu vaksin ben gak kalah ro negoro lio orang vaksin gabisa nyembuhin kok di gembar gemborkan hmm. Misal habis vaksin 3 hari berselang pasien sembuh itu baru di perjuangkan la ini habis vaksin pada modar masih aja di suruh vaksin aneh sekali kalian lucu nggak sih pemirsa orang gagal kok di ulang Haha. Mending dana vaksin di alihkan kesemua warga untuk biaya modal awal lagi malah manfaat to dab dab. Negoro kok isohe mung manut kapan majune.
1,"Bagi masyarakat..mari kita bantu pemerintah mensukseskan program vaksinasi,agar terbentuk kekebalan kelompok,I supaya Indonesia bisa menang melawan covid 19"
0,Terimakasih SPBU sudah isi bahan bakar dari nol terima uang dari berbeda2 tangan walaupun tanpa pakai baju pelindung hanya masker saja kalian tetap sehat.
2,"solusi cpat penuntasan covid-19 prokes hrus dngan solusi tepat,yaitu mmberi kompensasi yg merata,mau itu pdgang/pns/buruh/karyawan jngan mmbuat ATURAN PROKES klo solusi untuk masyarakat yg terdampak di biarkan,dan juga yg di suruh karantina mandiri gimana bisa bisa sehat klo seperti d PENJARA,wong kebutuhannya tidak di suplai dan di cukupi,ya jngan heran klo bnyak masyarakat yg mmbakang,wong aturannya saja yg diperketat,tpi suplai kbutuhan untuk rakyat spya bisa mmenuhi aturan tdk ada,makanya aturan banyak di abaikan..."
1,Tlg perhatikan nasib para dokter muda khususnya Internship krn mrk sebagai garda terdepan di rs tempat mrk magang sampai saat ini blm dapat gaji sepeserpun apalagi insentif yg katanya sdh distop dari pusat mrk sdh rela berjuang dgn mempertaruhkan nyawa demi kemanusiaan tlg hargai mrk dgn membayar gaji tepat waktu. Apalagi skrg pandemi lagi naik2nya  dan mrk dgn gigihnya masih sebagai garda terdepan sampai saat ini tlg bantu mrk kasi mrk gaji dan insentif spy mrk bisa beli vitamin utk.melindungi diri mrk masing2. Jgn sampai dana covid yg begitu tinggi dinikmati oleh org2 yg sama sekali tdk berhak. Yg berhak menikmati dana covid seharusnya semua tenaga medis disemua rs di Indonesia tanpa terkecuali kalau tdk ada para medis dokter siapa yg akan menangani pendemi ini ? Tlg realitis dgn tenaga kesehatan. Tlg perhatiannya lebih diutamakan kepada tenaga kesehatan ini. Insentif seharusnya tetap ada dan diberikan ke dokter2 masing2 bukan ditransfer ke rekening2 rs. Demikian tlg utk diperhatikan. Terima kasih.
2,Tutup sudah berita tentang Corona virus kayak negara sebelah. Kami rindu akan sepak bola pandemi akan lama pergi jadi lebih baik tutup berita tentang Covid. Tpi ttp melakukan protokol kesehatan
2,Gmn covid trus menyebar hirup udara segar aj GK bisa selalu tertutup masker pengap dong trus gmn badan bisa leluasa gerak d suruh d rmh saja tuk bersosialisasi susah mesti jaga jarak politik permainan apa lagi nih ingat kemiskinan semakin melanda bisa timbul revolusi sosial mesti d perhatikan
2,Katanya yg gk mau vaksin akan d kenai sansi..klo mau bikin surat2 atau bikim sim dll harus nunjukin sertifikat vaksin. Itu kan bertentangan denga uud yg sudh ada...hadeeh bikin mules aja nih..
2,Awak gk Abis pikir vaksin sudah di salurkan tapi yg positi covid makin banyak?â€¦ Terus awak mautanya kok di vaksin orang2 dewasa saja?â€¦Anak2 kok ngak ya apa anak2 kebal covid ya?â€¦.dari sini aja awak ragu
2,Saya mau tanya tolong di jawab...!!! Itu yg sesudah di vaksin terus lemes malah tambah sakit dan bahkan lumpuh terus minta tanggung jawabnya ke siapa??!!
2,Coba deh sekali kali bikin kebijakan potong gaji 50% untuk para anggota dewan dan bagikan secara merata
2,Semakin lama bukannya makin baik malah makin parah mulek udah kek drama tv
2,"Keluargaku meninggal 2jam setelah divaksin,5hari lumpuh,uda meninggal,seorang angkatan masi muda,jadi mari kita berpikir di mn letak kebaikan vaksin,berpikir secara logika tdk ada epekx,semakin di berantas semakin bax mudharatx,sebaikx berpikirlah se cara syarih di mn tuntunanx,apakah ada pd masa jahliah aturan sep itu,lebih baik jara harak untuk menularx virus dan jaha udhu,ber do'ah ikhtiyar InsyaaAllah Alloh SWT jauhkan virus tdk akan tertular,semoga bermampaat,naroqah Llahu fikunna,afwan wa syukron."
2,Gua baca buku IPA sekolah gua dlu buku SMp paket corona virus itu udah dari jaman bahula Cuman dulu gak di besar Sekarang dibesar Jadinya ekonomi melamban
2,Kenapa yng positif kena virus pasti meninggalnya di rumah sakit gk ada yng di jalan ataudi rumah  rupanya virus lebih memilih rumah sakit karna banyak teman nya
2,semoga sandiwara ini cepat berakhir (andin & Al ) ikatan cinta covid
1,Terima kasih utk para Tim medis dlm penanganan covid
2,Covid bisa hilang tergantung kapan pemerintah mencabut segala aturan terkait Covid tetapi selama pemerintah masih memberlakukan aturan Covid selama itu pula Covid dianggap masih ada. Itu sudah pasti Indonesia sehat tanpa rekayasa rakyat bebas dan sejahtera tanpa aturan Covid Bukan Covid yg membunuh rakyat tetapi aturan Covid yg membunuh rakyatÂ 
1,Bersyukurlah Indonesia dengan kepemimpinan Jokowi bisa mengatasi ekonomi pandemi dan politik. Lihatlah negara lain banyak yg hancur gegara pandemi dan ekonomi ditambah lagi politik yg tdk setabil. Terimakasih bp Presiden Jokowi yg telah berhasil meminilisasi pandemi dan memajukan ekonomi serta membuat politik setabil. Semoga pakde sehat selalu dan berkah pengabdianmu. Amiin...yra.
2,Bagaimana tanggapan kemenkes terhadap pihak sekolah yg melakukan vaksinasi tapi orang tua diminta menandatangani perjanjian tidak boleh menuntut kalau terjadi apa-apa? Apa memang tidak ada pertanggungjawaban dari pihak yg menyelenggarakan vaksinasi?
2,Belum maksimal chatboot WhatsApp pedulilindungi.
2,Kementerian Kesehatan RI susah proses chatboxnya.terima kasih
1,Apakah klo kita di vaksin sinopak kita harus vaksin lagi yg lain jika ingin ke luar negri?
2,Ap gunanya vaksin ap di jamin ke akuratannya trus faedahnya ap
1,Tksh byk Informasi Yg Berdifat Membantu Seperti ini Kemenkes RI...dari 082112408935 Klender Jakarta Timur..
2,Apa kabar dengan saya yang sudah vaksin langsung tumbang ditempat dan sampai sekarang belum ada klarifikasi dengan saya...atau perlu diviralkan dulu baru ditindaki
2,Buat pemerintah Indonesia sebenarnya tidak ada corona di Indonesia cuman itu lah sering2 dibilang dibahas akhirnya bertambah isu2  saya sarangkan tolong pemerintahan pak joko win jangan sering2 disebut yg nmnya corona insya Allah corona di Indonesia tidak ada putra sulawesi
2,Ada Covid varian baru lalu vaksin yg selama ini di paksakan untuk masyarakat buat apa ?? Berasa hidup di negara dongengÂ Sepertinya yg pnting sertifikat vaksinnya bukan vaksinasinya.
1,"Ada tanda2 covid merebak lagi diwarga kampung mulai lagi sakit batuk demam,mual,tenggorokan pahit perasa berkurang spt masuk angin,secara tiba?! Satu dua kasus meninggal mendadak !"
0,Daftar list utk tgl 20 nov belum diup date
1,"Kami sekeluarga sudah selesai vaksin ke dua tgl 9 agustus lalu,"
1,Maaf tanya donk. Kenapa setelah vaksin rambut saya jadi rontok.? Klw nyisir rambut tu sisir penuh ma rambut yg rontok. Sendi ke2 lutut saya juga sering sakit.! Mohon info nya..
1,Assalamualaikum Dok saya sudah vaksin ke 1 sekarang saya vaksin kedua numpang kalo kedua dimana besok vaksin 1 tanggal 28 nov 2021 saya vaksin freezer
2,Apa gunanya sertifikat vaksin apa bisa buat jaminan di Bank
1,"Besok minggu 5 desember akan Ada vaksin ke2 dipolres tulang bawang itu sms balesan dari setelah melakukan vaksin astrazaneca yg pertama sementara akses menuju kesana saya tidak Ada kendaraan itu solusinya bagaimana ya,Karena untuk vaksin astrazaneca itu yg pertama dikampung Rawa ragil kec Rawa pitu kabupaten Tulang bawang kenapa untuk yg kedua itu diadakan dipolres Tulang bawang? Mohon kejelasannya mengingat kondisi tidak Ada data internet untuk update vaksin ke2.. sekian terimakasih"
1,Nomor KTP saya yang untuk mendaftar vaksin itu salah.. ada kurang 1 nomor gitu.. tapii terus depannya malah ditambahin angka nol... Apa bisa di rubah?... Saya chatbot tapi gak bisa.. cuma ada buat rubah nama. Tgl lahir dan nomor telepon aja 
1,Saya terharu sampe menitikkan air mata. Pak Jokowi memang pemimpin sejati yg memberi TELADAN bagi rakyatnya. MALAIKAT bagi Indonesia. Pak Jokowi selalu memberi teladan pakai masker patuhi protokol kesehatan 5M dan menjadi yg pertama mendapat suntik
2,orang gila strees ko kebal virus dan jarang sakit padahal hidup nya kotor . Pikir secara logika dan akal pikiran.  #varianÂ keju coklat dan stobery dll
1,Siip moga sukses buat tenaga kesehatan yang selalu berjuang untuk mengatasi pademi ini
1,Data covid kok belum di posting pa lupa ngitung
1,Hebat-- Peduli Lindungi --Beberapa Hari Terakhir ini Saya sudah Panik ..karena Sudah Hilang Kartu Vaksin saya..Tapi setelah sy daftarkan lagi.. Nomor Nik dan di sertai Nomor HP yg sy serahkan Kpd Para Petugas Vaksin...Langsung Berhasill.. keluar Kartu Vaksin Lewat Kontrol Kemenkes RI... Bahwa Seseorang ini Telah Divaksi Pertama Tanggal Sekian dan Vaksin Tanggal Sekian... Tinggal Vaksin Boster yg ketiga Yang Belum... mungkin Bulan Maret 2022 ..baru ada giliran sy.. Karena Jarak Vaksin Ke 2 dgn Vaksin Boster ke 3 harus 6 Bulan.. Apakah Benar itu Kemenkes RI..? Tksh dari klender Jakarta Timur..(082111434892)
1,Maaf mau tanya kalau sudah dapat vaksin dari luar negri bagaimana cara mendaftarnya saya juga sudah ganti nomer Indonesia! Mohon bantuannya soalnya saya sudah daftar tapi bisa
2,Kesel aq chat wa d bales sama boot doang timbang mau nanya knp sertifikat blm da pdhal udah vaksin dri tanggal 20 Desember Ampe ganti tahun Mash blm ad jga...
1,Vaksin kedua SDH tertunda apakah harus mengulangi vaksin pertama sebab saya butuh sertifikat saya janda anak 2 pekerjaan asisten rumah tangga kalau nggak punya sertifikat vaksin nggak bs kerja kedepannya gemana nasib anak2 saya makan apa kalau saya nggak di terima kerja
1,Halloooooo MET pagi ...saya ingin pencerahannya saja...anak saya sdh antri utk vaksin dr pagi sampai siang hari ..tetapi tdk dipanggil ...tetapi dia tdk mendapatkan penjelasan tauÂ² malah udah jadi ada sertifikat vaksin nya ...itu gmn ya ? Dmn saya hrs mengadukan hal ini ....teledor sekali pihak puskesmas nya
1,Tolong menjelang natal dan tahun baru rencana pemerintah untuk menerapkan PPKM level III terus di laksanakan dan di terapkan dmi menjaga meningkatnnya covid-19 terus jngn diskriminasi hari besar kemarin kemarin kan gak boleh skrg juga sama saja sama.ratakan  trims
1,Pemerintah itu minta vaksin covid-19 cepat kelar tapi buat coding Pcare nya tidak sempurna andai saja data bisa ditampilkan capaian vaksin per desa/ kelurahan pasti kerjaan dinas kesehatan lebih cepat tersinkronisasi dengan Pemda TNI maupun polri... Kasihan mereka kerja klarifikasi datanya manual ... Apa gak ada yang pintar buat upgrade Pcare... ???
2,Obat Pandemi COVID-19 dan Perisai bagi Penyakit Zoonotik. Di Jerman 70% warganya sudah divaksin Pfizer. Tetapi sekarang jadi episentrum.
1,Udah vaksin ke dua sertifikat kok ga keluar yaa?
1,"Hallo kemkes,knapa susah log in ya?! Mau input data vaccine Di luar negri.mau reset password juga gk bisa.karna link buat reset password tidak Di kirim ke emai"
2,Pembunuhan direncanakan in Indonesia.
1,Terimakasih nomor WA kemenkes yg tertera sangat membantu mempercepat percetakan kartu Vaksin hal ini memepermudah pegiat UMKM khususnya penggiat dunia percetakan. Namun sayangnya akses terbatas dalam tiap nomor hp hanya 5 kartu per harinya. Padahal beberapa warga manula yg belum memiliki nomor hp akan lebih terbantu jika batasannya diperlonggar. TerimkasihÂ 
1,Aslm muallaikum mohon dibantu saya sdh vaksin dosis 1 sinovak pada tgl 12 -11-2021di holy stadium Marina Semarang sekarang saya sdh nggk di Semarang jadi saya nggak bs vaksin dosis 2di tempat saya tinggal karena data vaksin pertama saya nggk masuk tolong mohon masukin data saya 
1,"lucu ya di sebalik bencana banyak yang ambil untung,cetak sertifikat vaksin aj bayar ke penjual 15k,cuma di indo aja begini harusnya itu di amankan,jangan ada yang ambil kesempatan dalam kesempitan"
1,Saya udah faksin pertama tp kenapa pas saya cek di peduli lindungi nama saya tidak terdaftar. Kok malah nama orang Laen. Gimana ceritanya coba. Rugi donk saya faksin kalau nama saya tidak terdaftar
2,Ini gimana kementirian kesehatan . Bukanya fokus pada pada penyembuhan kpd covit eh malah fokos sama sertivikat. Gunanya apa goblok
2,sampah
2,Siapa yang lagi nunggu corona varian Rasa coklat
1,ka mau nanya saya pas lagi itu ikut vaksin yg sinoparm pas yg mau kedua nya knp susah ya vaksin sinoparm nya .. yg ada mlh sinovac astra sama frize
1,Mimin kalau kita udah vaksin 1dan 2 tpi kita pas di data belum terdaptar gimana itu pusing palak ku min
1,Misi mau nanya soal permasalahan saya setelah vaksin malah jadi alergi dengan karet gelang! Pekerjaan saya sebagai salesman slalu menggunakan karet gelang untuk mengikat uang storan tagihan sy sama sekali tidak pernah mengalami alergi apapun sebelumnya! Tetapi setelah vaksin pertama nampaknya imun tubuh sy menganggap karet gelang itu sebagai bahan berbahaya hingga menimbulkan alergi yg cukup parah! Jari tangan bengkak bentol2 gatal & parahnya sampai seperti luka bakar kalau lama!!! Apakah ada solusi soal permasalahan sy?
1,Kenapa sertifikat saya tidak muncul dan mempertanyakan data yg diulang ulang? Pada hal data sdh sesuai dgn data yg dikeluarkan puskesmas tempat saya vaksin! Apakah sengaja untuk menguras data masyarakat? Atau vaksinasi ini hanya lawakan semata?
1,Apakah bisa org yg sdh divaksin di luar negari utk mengakses aplikasi chatbot dan kluar sertivikat vaksin
1,Berapa hari sertifikat vaksin keluar.saya sudah vaksin di luar negri.kata nya 3 hari tapi ini udah 1 minggu
1,sekalian buat fitur bisa check-in dan check-out di chatbot Whatsappnya juga dong misal dengan mengirimkan foto QR-nya. Meski di Gojek Traveloka dll sudah bisa scan juga tapi kan penggunanya kan tidak sebanyak Whtasapp. Atau lebih keren lagi kalau bisa langsung dari web pedulilindungi.id. Jadi kan hape baru pun bisa langsung akses lewat browser bawaan tanpa harus instal aplikasi apa pun. Browser sekarang juga sudah bisa akses kamera dan lokasi.
0,Hidup buzzerÂ 
1,Bagaimana mendaftarkan untuk Vaksin Booster bagi Lansia. Untuk pemegang BPJS ASN apakah tidak dikenakan biaya terima kasihÂ 
0,minta tolong kalau untuk mendapat kan perbaikan nama itu dimana ya
1,EessuweDoto SELAMAFyitu pppkm Inp veesstassi mmerrlliin meenn taeea teeooloonn
1,"Kalau di aplikasi peduli lindungi kita tiba2 muncul nama org lain gmn hapus nya,....."
1,Min mau nanya dong saya sudah d faksin tp kartu faksi saya tidak dapat2 sedangkan yg lain sudah dapat katanya sih hilang data nya punya saya  itu gimana ya
1,Saya saja sudah di vaksin ke 2 tgl 21/8/21 sampai sekarang blm ada pesan yg masuk utk sertifikat vaksin 2
1,"Izin bertanya saya sudah di vaksin sdh dpt kartu dan sudah keluar sertifikat vaksin lewat SMS Cuma masalahnya di sini hp saya eror trus saya reset kembalikan ke mode pabrik jdi secara otomatis kan SMS sertifikasi vaksin ke hapus,"
0,Ayo tetap menggunakan masker Terus menerus yang belum di vaksin silahkan di vaksin tetap jaga protokol kesehatan Insaallah pandemi ini akan berakhir jangan lupa baca doaÂ sebelum makan
1,Saya sudah vaksin. Tetapi sertivikat dosis 1 dan 2 blm muncul. Bagaimana solusinya.. terimakasih
1,Apakah sertifikat vaksin nya harus di print kh min?
1,Disini kami yg ada Likupang satu ada yg tida menerima sumbangan karena tida fipaksin apa ini perinta langsung dari pusat .mohon penjelasanya
1,Sya di vaksin udah 2 kali dan udah selesai.. Tapi pas di cek di app peduli lindungi ko saya di vaksin baru dosis pertama
1,Assalamualaikum mau tanya Info vaksinasi besok dimana
1,Mohon info nya dan penjelasan apa gunanya surat paksiin 
1,Berikut sertifikat tapi ga ada muncul sertifikat nya . Hadeh. Peduli lindungi diakses ga bisa login
1,Sertifikat vaksin tidak keluar.. Tolong bantuan nya
1,UPDATE TOTAL COVID TGL 23 NYA KEMANA YA
1,Sertifikat vaksin ke 3 saya belum terdownload.. Mohon
1,Akun peduli lindungi saya email dan nmor telponya sama2 terdaftar di akun gmna solusinya untuk menjadikan satu ?? Mohon bantuan dan solusinyaÂ 
1,SEGERA TINDAK!!!
0,Kenapa banyak Buzer disini yg memberi selamat???? Udah di coba di wa tapi balik lagiÂ²
1,Tanya dong saya kan sudah vaksin 2 kali nomer hp nya 1 nomer hp sama suami saya. .nah waktu vaksin pertama petugasnya salah ketik itu gimana cara merubahnya.?
0,Kenapa saat mau idul adha.idul fitri covid naik apa ini permainan catur legendaris
0,maaf bapa yang terhormat mau nanya .corona wuhan sama corona di indonesia ko berbeda sakitnya ?? mohon respon pak cuma sekedar nanya
1,Curhat+tanya. Di keluarga saya ada yg positif saat ini. Dan kami sedang melakukan isolasi mandiri. Dr pihak Puskesmas sudah tau kalau. Positif. Tp kok ga di kasih obat apapun ya dr puskesmaas. Apakah Corona ini bisa sembuh sendiri tanpa obat. Atau kah saya harus berbuat sesuatu.?
2,Mosok bantuk pilek di kata corona klo bantuk pilek itu sakit bisa kan benar gak
2,itu mah bukan urusan warga .masalah di gaji atau tidaknya.urusan RS sama pemerintah..covid dibuat oleh pemerintah juga.di tempat ane ada yg meninggal sakit stroke lsg di vonis covid.
1,Perubahan cuaca dri jmn dlu yg d sebut panca roban sering ter jdi banyak yg sakit demam batuk pilek kpla pusing penciuman ga ada rsa mkn ga enak itu yg sering sya alami dri jmn msih sklh SD
2,kan ada aturan vaksin  GK hrs seratus persen penduduk itu di vaksin klu peraturan mengurus segala sesuatu hrs ada Surat vaksin  berarti bentuk pemaksaan  sedangkan vaksin bukan pencegahan ygÂ  terbaik yg vaksin pun hrs ttp prokes
2,"yang namanya flu pasti Indra penciuman hilang bos kemarin aku juga flu batuk akibat musim hujan panas,betul jangan dibawa ke RS nanti divonis kopet"
0,"Ngak ada orang yg meninggl krn penyakin lain sat ini,smua dcvidkn.penggunaan ivermctin ant biotic sngt berbahaya.smua tenaga medis bkerja menurt prosedur,bkn ht nurani .jiwa2 melayng d negri ini..ya allah..mal prktek brdarh dingin"
1,Katanya harus di Vaksin . Sementara mau vaksin aja sulit terlalu ribet pake isi kertas format blangko. itupun klo masih kebagian. Kuota se puskesmas cuma 40 orang doang dlm wktu satu minggu. Kapan kami bisa kebagian Vaksin ? Pasrah sajalah...
1,Alhamdulillah... Sudah setahun setengah jaga Prokes... Sudah setahun setengah pake masker Sudah setahun setengah jaga jarak Dan sekarang hasilnya....luar biasa... Apalagi setelah Vaksin masal korona makin....(isi sendiri) Luar biasalah pokoknya... Makin hari makin luar biasa...hehe
2,Apakah kebijakan pemerintah dalam masalah covid tepat sasaran? Pemerintah pusat sampe dengan kabupaten kota mungkin bekerja keras tapi dibawahnya? Kecamatan sampai dengan RT/RW apa ikut bekerja keras? Hal yg paling penting aja sosialisasi masker tidak terus dilakukan apalagi sweeping kerumunan warga semua hny pencitraan di awal.. Makanya tidak heran kalo hasilnya seperti sekarang yg di dapat. Info : Pasar tradisional yang tiap hari orang kumpul dan keluar masuk ribuan orang 95% tidak pake masker
0,"Orang mninggal,sakit,mlahirkan itukan mmang ada stiap hari bahkan stiap mnitan jam.jadi apalah corona corone itu ini smua cuma proses alam heh"
0,Yang kena covid gk manusia aja gabah aja kena covid harganya anjlok pupuk subsidi kena covid jadi sulit jagung kena covid juga hrganya anjlok petani jadinya coplakÂ 
2,Usir covid mudah masak air yg dicampur minyak kayu putih menggunakan magic com penanak nasi hirup uap yg keluar dari lubangnya sekitar 10 menit dg hidung dan mulutrasakan sensasinya ratakan penguapan ke leher lakukan sehari 3 kali gak perlu dibuat pusing ini pengobatan ortu jaman dulu sebelum ada dokter
2,Saya sebagai masyarakat biasa hanya bisa melihat saja dimana pemerintah mewajibkan secara halus untuk vaksinasi hal itu sangat tidak baik dilakukan. Lantas ketika masyarakat terkena efek dari vaksin tersebut apakah bisa dipertanggung jawabkan?... Maaf ini negara yang menjunjung tinggi hak asasi manusia dimana masyarakat bisa memilih tanpa memaksa secara halus seperti ini.
1,Ayolah kemenkes !!! Buka vaksin tanpa dibatasi lagi. Gara2 ngejar target lansia jadinya yg mau vaksin 18+ masih ditolak2 aja walau dah ada instruksi menkes. Sikat aja vaksinasi ke siapa yg mau secepatnya. Kita berkejaran dgn waktu nih.
1,Yang divaksin mulai Umuran 12 tahun 17 thn keatas dan Lansia. Jadi bagaimana anak yg 11 tahun ke bawawah?? Kalau tidak divaksin sama sj Covid ngk bakalan hilang. Apalagi sekarang katanya ada Virus Varian baru dr India dan yg mudah terkena Balita dan Anak2.
1,Dgn Vaksin sdh termasuk Usaha mencegah Kalaupun terpapar kiranya tidak smp vatal(menyebabkan kematian)
1,"Cari data yg valid jgn asal unggah biar anggaran gak bocor kasian rakyat kecil,mau vaksin aja harus berebut"
0,Gambar template oleh Jason Mraz lucky laki laki laki laki laki laki laki laki laki laki laki laki laki ttt ada di dalam tubuh manusia yang tidak bisa di download di sini adalah salah satu dari mereka yang tidak bisa di download di sini adalah salah satu dari mereka yang tidak bisa di download di sini adalah salah satu dari mereka yang tidak bisa di download di
